repo__npm_pkg,repo__nameWithOwner,repo__hasTestScript,repo__npms_score,data__success_count,data__success_total_rate,data__success_run_rate,data__failure_count,data__failure_total_rate,data__failure_run_rate,data__pending_count,data__pending_total_rate,data__pending_run_rate
uuid,kelektiv/node-uuid,1,0.9365171821421499,24,0.5581395348837209,1,0,0,0,19,0.4418604651162791,0.7916666666666666
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,31,0.6739130434782609,0.9393939393939394,2,0.043478260869565216,0.06060606060606061,13,0.2826086956521739,0.3939393939393939
acorn,acornjs/acorn,1,0.9084750820287657,79,0.7596153846153846,0.9875,1,0.009615384615384616,0.0125,24,0.23076923076923078,0.3
postcss-loader,postcss/postcss-loader,1,0.903241439575496,62,0.9841269841269841,1,0,0,0,1,0.015873015873015872,0.016129032258064516
joi,hapijs/joi,1,0.9010259339300382,211,0.8865546218487395,0.9295154185022027,16,0.06722689075630252,0.07048458149779736,11,0.046218487394957986,0.048458149779735685
cross-spawn,moxystudio/node-cross-spawn,1,0.90003783555059,48,0.8888888888888888,0.8888888888888888,6,0.1111111111111111,0.1111111111111111,0,0,0
boom,hapijs/boom,1,0.8986482296504711,81,0.9101123595505618,0.9529411764705882,4,0.0449438202247191,0.047058823529411764,4,0.0449438202247191,0.047058823529411764
jsonfile,jprichardson/node-jsonfile,1,0.8931535593394644,22,0.88,0.9166666666666666,2,0.08,0.08333333333333333,1,0.04,0.041666666666666664
ms,zeit/ms,1,0.8904368621000167,7,0.3684210526315789,1,0,0,0,12,0.631578947368421,1.7142857142857142
url-loader,webpack-contrib/url-loader,1,0.8900812043109424,14,0.4375,0.9333333333333333,1,0.03125,0.06666666666666667,17,0.53125,1.1333333333333333
vinyl,gulpjs/vinyl,1,0.8891208280688425,5,0.16129032258064516,1,0,0,0,26,0.8387096774193549,5.2
pify,sindresorhus/pify,1,0.8868071587568348,10,0.8333333333333334,0.8333333333333334,2,0.16666666666666666,0.16666666666666666,0,0,0
globby,sindresorhus/globby,1,0.8839920501793121,27,0.9,1,0,0,0,3,0.1,0.1111111111111111
nodemailer,nodemailer/nodemailer,1,0.8838735192448669,169,0.6954732510288066,0.9337016574585635,12,0.04938271604938271,0.06629834254143646,62,0.2551440329218107,0.3425414364640884
invariant,zertosh/invariant,1,0.8778456323670596,8,0.6153846153846154,1,0,0,0,5,0.38461538461538464,0.625
ora,sindresorhus/ora,1,0.8776423306704437,27,0.7941176470588235,1,0,0,0,7,0.20588235294117646,0.25925925925925924
http-errors,jshttp/http-errors,1,0.8770410301635958,22,0.8148148148148148,0.8461538461538461,4,0.14814814814814814,0.15384615384615385,1,0.037037037037037035,0.038461538461538464
del,sindresorhus/del,1,0.8769807800420442,22,0.9166666666666666,0.9565217391304348,1,0.041666666666666664,0.043478260869565216,1,0.041666666666666664,0.043478260869565216
through,dominictarr/through,1,0.8758073424161721,23,0.696969696969697,1,0,0,0,10,0.30303030303030304,0.43478260869565216
depd,dougwilson/nodejs-depd,1,0.8740735831294395,17,1,1,0,0,0,0,0,0
cors,expressjs/cors,1,0.8737772109089113,27,0.7941176470588235,0.9310344827586207,2,0.058823529411764705,0.06896551724137931,5,0.14705882352941177,0.1724137931034483
hoist-non-react-statics,mridgway/hoist-non-react-statics,1,0.8730830655755895,33,0.9705882352941176,0.9705882352941176,1,0.029411764705882353,0.029411764705882353,0,0,0
he,mathiasbynens/he,1,0.8728774247940942,5,0.18518518518518517,1,0,0,0,22,0.8148148148148148,4.4
reselect,reactjs/reselect,1,0.8723519908611429,15,0.5357142857142857,0.8823529411764706,2,0.07142857142857142,0.11764705882352941,11,0.39285714285714285,0.6470588235294118
strip-ansi,chalk/strip-ansi,1,0.8705387340285204,15,0.7894736842105263,0.8333333333333334,3,0.15789473684210525,0.16666666666666666,1,0.05263157894736842,0.05555555555555555
bytes,visionmedia/bytes.js,1,0.8677732153362526,6,0.375,1,0,0,0,10,0.625,1.6666666666666667
accepts,jshttp/accepts,1,0.8671300293289466,33,0.9428571428571428,1,0,0,0,2,0.05714285714285714,0.06060606060606061
eslint-plugin-jsx-a11y,evcohen/eslint-plugin-jsx-a11y,1,0.8657027249560622,60,0.8108108108108109,0.9090909090909091,6,0.08108108108108109,0.09090909090909091,8,0.10810810810810811,0.12121212121212122
xmlbuilder,oozcitak/xmlbuilder-js,1,0.8652061471566209,62,0.6526315789473685,0.8985507246376812,7,0.07368421052631578,0.10144927536231885,26,0.2736842105263158,0.37681159420289856
vinyl-fs,gulpjs/vinyl-fs,1,0.8646337000914308,4,0.08888888888888889,1,0,0,0,41,0.9111111111111111,10.25
tar,npm/node-tar,1,0.8646039969603493,51,0.5730337078651685,0.6986301369863014,22,0.24719101123595505,0.3013698630136986,16,0.1797752808988764,0.2191780821917808
micromatch,micromatch/micromatch,1,0.864368865108242,39,0.5909090909090909,0.75,13,0.19696969696969696,0.25,14,0.21212121212121213,0.2692307692307692
parseurl,pillarjs/parseurl,1,0.8641799525919962,5,0.45454545454545453,1,0,0,0,6,0.5454545454545454,1.2
type-is,jshttp/type-is,1,0.862608929021603,37,0.9736842105263158,1,0,0,0,1,0.02631578947368421,0.02702702702702703
methods,jshttp/methods,1,0.862533074604311,2,0.2857142857142857,0.2857142857142857,5,0.7142857142857143,0.7142857142857143,0,0,0
hawk,hueniverse/hawk,1,0.8619059847504746,64,0.7529411764705882,0.9014084507042254,7,0.08235294117647059,0.09859154929577464,14,0.16470588235294117,0.19718309859154928
strip-json-comments,sindresorhus/strip-json-comments,1,0.8605610568422339,13,0.8125,0.9285714285714286,1,0.0625,0.07142857142857142,2,0.125,0.14285714285714285
etag,jshttp/etag,1,0.8585522387199909,14,1,1,0,0,0,0,0,0
supports-color,chalk/supports-color,1,0.858348421849523,42,0.8571428571428571,0.9767441860465116,1,0.02040816326530612,0.023255813953488372,6,0.12244897959183673,0.13953488372093023
find-up,sindresorhus/find-up,1,0.8578343371895973,9,0.8181818181818182,0.9,1,0.09090909090909091,0.1,1,0.09090909090909091,0.1
camelcase,sindresorhus/camelcase,1,0.8575807041386336,19,0.8636363636363636,1,0,0,0,3,0.13636363636363635,0.15789473684210525
serve-favicon,expressjs/serve-favicon,1,0.8574633200129496,24,0.8888888888888888,0.9230769230769231,2,0.07407407407407407,0.07692307692307693,1,0.037037037037037035,0.038461538461538464
js-base64,dankogai/js-base64,1,0.8568974855486036,40,0.6451612903225806,0.975609756097561,1,0.016129032258064516,0.024390243902439025,21,0.3387096774193548,0.5121951219512195
content-type,jshttp/content-type,1,0.8565409175032326,4,0.8,0.8,1,0.2,0.2,0,0,0
utils-merge,jaredhanson/utils-merge,1,0.8562436933993569,1,0.5,1,0,0,0,1,0.5,1
ansi-styles,chalk/ansi-styles,1,0.8555746135609408,17,0.7083333333333334,1,0,0,0,7,0.2916666666666667,0.4117647058823529
gulp-rename,hparra/gulp-rename,1,0.8554983437282213,7,0.5833333333333334,0.875,1,0.08333333333333333,0.125,4,0.3333333333333333,0.5
statuses,jshttp/statuses,1,0.8554349417451135,9,0.6,0.75,3,0.2,0.25,3,0.2,0.25
figures,sindresorhus/figures,1,0.8548945928699503,18,0.9,0.9,2,0.1,0.1,0,0,0
inherits,isaacs/inherits,1,0.8543907397422148,1,0.16666666666666666,0.3333333333333333,2,0.3333333333333333,0.6666666666666666,3,0.5,1
basic-auth,jshttp/basic-auth,1,0.8539016937870461,7,0.7777777777777778,1,0,0,0,2,0.2222222222222222,0.2857142857142857
get-stdin,sindresorhus/get-stdin,1,0.8530350561945828,12,0.8,0.9230769230769231,1,0.06666666666666667,0.07692307692307693,2,0.13333333333333333,0.15384615384615385
safe-buffer,feross/safe-buffer,1,0.852616171657411,10,0.8333333333333334,0.9090909090909091,1,0.08333333333333333,0.09090909090909091,1,0.08333333333333333,0.09090909090909091
range-parser,jshttp/range-parser,1,0.8521890892195152,5,0.45454545454545453,1,0,0,0,6,0.5454545454545454,1.2
webpack-bundle-analyzer,webpack-contrib/webpack-bundle-analyzer,1,0.8511453642399709,51,0.6891891891891891,0.9622641509433962,2,0.02702702702702703,0.03773584905660377,21,0.28378378378378377,0.39622641509433965
require-directory,troygoode/node-require-directory,1,0.8509829573673163,6,0.46153846153846156,1,0,0,0,7,0.5384615384615384,1.1666666666666667
json-stable-stringify,substack/json-stable-stringify,1,0.8506699491334956,6,0.75,1,0,0,0,2,0.25,0.3333333333333333
browserslist,ai/browserslist,1,0.8504157752151086,137,0.9013157894736842,0.9785714285714285,3,0.019736842105263157,0.02142857142857143,12,0.07894736842105263,0.08571428571428572
mobx,mobxjs/mobx,1,0.8503073663379563,167,0.7198275862068966,0.8434343434343434,31,0.1336206896551724,0.15656565656565657,34,0.14655172413793102,0.1717171717171717
base64-js,beatgammit/base64-js,1,0.8501261658093029,20,0.8333333333333334,0.9523809523809523,1,0.041666666666666664,0.047619047619047616,3,0.125,0.14285714285714285
extend-shallow,jonschlinkert/extend-shallow,1,0.850004314771792,7,0.5,0.7777777777777778,2,0.14285714285714285,0.2222222222222222,5,0.35714285714285715,0.5555555555555556
cosmiconfig,davidtheclark/cosmiconfig,1,0.8493508312078792,33,0.8918918918918919,0.9428571428571428,2,0.05405405405405406,0.05714285714285714,2,0.05405405405405406,0.05714285714285714
finalhandler,pillarjs/finalhandler,1,0.849277954693014,27,1,1,0,0,0,0,0,0
array-flatten,blakeembrey/array-flatten,1,0.8491759068335724,11,0.7857142857142857,1,0,0,0,3,0.21428571428571427,0.2727272727272727
make-dir,sindresorhus/make-dir,1,0.8484832714767236,8,0.7272727272727273,0.7272727272727273,3,0.2727272727272727,0.2727272727272727,0,0,0
proxy-addr,jshttp/proxy-addr,1,0.8483711400711644,26,1,1,0,0,0,0,0,0
kind-of,jonschlinkert/kind-of,1,0.8481636444431349,10,0.37037037037037035,0.5,10,0.37037037037037035,0.5,7,0.25925925925925924,0.35
read-pkg-up,sindresorhus/read-pkg-up,1,0.8479591983023882,8,0.8,1,0,0,0,2,0.2,0.25
anymatch,micromatch/anymatch,1,0.8478321209596654,15,0.7894736842105263,0.9375,1,0.05263157894736842,0.0625,3,0.15789473684210525,0.1875
convert-source-map,thlorenz/convert-source-map,1,0.8476346611683496,25,0.7352941176470589,1,0,0,0,9,0.2647058823529412,0.36
bl,rvagg/bl,1,0.8476279151951446,27,0.627906976744186,0.75,9,0.20930232558139536,0.25,7,0.16279069767441862,0.19444444444444445
lazy-cache,jonschlinkert/lazy-cache,1,0.8474343252925634,12,0.7058823529411765,0.8,3,0.17647058823529413,0.2,2,0.11764705882352941,0.13333333333333333
color-convert,Qix-/color-convert,1,0.8473598298923533,21,0.5833333333333334,0.875,3,0.08333333333333333,0.125,12,0.3333333333333333,0.5
chokidar,paulmillr/chokidar,1,0.8473502942025755,17,0.16346153846153846,0.4473684210526316,21,0.20192307692307693,0.5526315789473685,66,0.6346153846153846,1.736842105263158
path-exists,sindresorhus/path-exists,1,0.8469092825273679,6,1,1,0,0,0,0,0,0
liftoff,js-cli/js-liftoff,1,0.8466980536378743,44,0.7719298245614035,0.8148148148148148,10,0.17543859649122806,0.18518518518518517,3,0.05263157894736842,0.05555555555555555
ejs,mde/ejs,1,0.8464750445518052,47,0.2088888888888889,0.9791666666666666,1,0.0044444444444444444,0.020833333333333332,177,0.7866666666666666,3.6875
merge-descriptors,component/merge-descriptors,1,0.8458305642668486,1,0.25,1,0,0,0,3,0.75,3
escape-string-regexp,sindresorhus/escape-string-regexp,1,0.8456652100255281,8,0.7272727272727273,1,0,0,0,3,0.2727272727272727,0.375
webpack-manifest-plugin,danethurber/webpack-manifest-plugin,1,0.8455557656334105,23,0.71875,0.8214285714285714,5,0.15625,0.17857142857142858,4,0.125,0.14285714285714285
vary,jshttp/vary,1,0.8454026140326387,7,1,1,0,0,0,0,0,0
string-width,sindresorhus/string-width,1,0.8449098292974412,12,0.8,1,0,0,0,3,0.2,0.25
cliui,yargs/cliui,1,0.844189321701569,15,0.625,1,0,0,0,9,0.375,0.6
ansi-regex,chalk/ansi-regex,1,0.8439454888468545,13,0.9285714285714286,1,0,0,0,1,0.07142857142857142,0.07692307692307693
webpack-merge,survivejs/webpack-merge,1,0.8436116588518652,82,0.9111111111111111,0.9213483146067416,7,0.07777777777777778,0.07865168539325842,1,0.011111111111111112,0.011235955056179775
xtend,Raynos/xtend,1,0.8433741587211352,0,0,NaN,0,0,NaN,18,1,Infinity
ajv-keywords,epoberezkin/ajv-keywords,1,0.8432657000448233,38,0.9047619047619048,0.9743589743589743,1,0.023809523809523808,0.02564102564102564,3,0.07142857142857142,0.07692307692307693
html-entities,mdevils/node-html-entities,1,0.8429721151047715,5,0.14285714285714285,0.8333333333333334,1,0.02857142857142857,0.16666666666666666,29,0.8285714285714286,4.833333333333333
on-headers,jshttp/on-headers,1,0.8426368020318564,3,0.75,1,0,0,0,1,0.25,0.3333333333333333
slash,sindresorhus/slash,1,0.8425335444649682,7,0.7777777777777778,1,0,0,0,2,0.2222222222222222,0.2857142857142857
request-promise,request/request-promise,1,0.8425286092758096,25,0.625,0.9259259259259259,2,0.05,0.07407407407407407,13,0.325,0.48148148148148145
follow-redirects,olalonde/follow-redirects,1,0.8424582859939201,39,0.8125,0.9512195121951219,2,0.041666666666666664,0.04878048780487805,7,0.14583333333333334,0.17073170731707318
assert,defunctzombie/commonjs-assert,1,0.841895741959301,11,0.7333333333333333,0.8461538461538461,2,0.13333333333333333,0.15384615384615385,2,0.13333333333333333,0.15384615384615385
serialize-javascript,yahoo/serialize-javascript,1,0.8417660454174409,22,0.9565217391304348,1,0,0,0,1,0.043478260869565216,0.045454545454545456
read-pkg,sindresorhus/read-pkg,1,0.8416478047462406,10,0.8333333333333334,0.9090909090909091,1,0.08333333333333333,0.09090909090909091,1,0.08333333333333333,0.09090909090909091
ignore,kaelzhang/node-ignore,1,0.8416457666349196,57,0.6867469879518072,0.7916666666666666,15,0.18072289156626506,0.20833333333333334,11,0.13253012048192772,0.1527777777777778
common-tags,declandewet/common-tags,1,0.8416297447235993,19,0.76,0.7916666666666666,5,0.2,0.20833333333333334,1,0.04,0.041666666666666664
signal-exit,tapjs/signal-exit,1,0.8413963800938801,6,0.42857142857142855,0.6666666666666666,3,0.21428571428571427,0.3333333333333333,5,0.35714285714285715,0.5555555555555556
strip-bom,sindresorhus/strip-bom,1,0.8410455322719641,10,0.9090909090909091,1,0,0,0,1,0.09090909090909091,0.1
mz,normalize/mz,1,0.8409205450203346,19,0.7916666666666666,1,0,0,0,5,0.20833333333333334,0.2631578947368421